case,split,cores,baseline_no_l2_makespan_cycles,baseline_l2_makespan_cycles,final_no_l2_makespan_cycles,final_l2_makespan_cycles,hardware_baseline_ratio,hardware_final_ratio,schedule_no_l2_ratio,schedule_l2_ratio,l2_strict_improvement
case_052,holdout,5,57870,55471,57870,55471,1.0432478231868905,1.0432478231868905,1.0,1.0,False
case_053,holdout,1,1472686,1428109,1472686,1428109,1.0312140039730862,1.0312140039730862,1.0,1.0,False
case_053,holdout,2,759149,759149,740832,740832,1.0,1.0,1.0247249038918405,1.0247249038918405,True
case_053,holdout,3,584699,584699,541298,541298,1.0,1.0,1.080179494474393,1.080179494474393,True
case_053,holdout,4,492668,492668,492668,492668,1.0,1.0,1.0,1.0,False
case_053,holdout,5,465992,465737,465992,465737,1.0005475193081073,1.0005475193081073,1.0,1.0,False
case_054,holdout,1,815051,815051,815051,815051,1.0,1.0,1.0,1.0,False
case_054,holdout,2,485507,485507,485507,485507,1.0,1.0,1.0,1.0,False
case_054,holdout,3,386727,386718,386727,386718,1.0000232727724079,1.0000232727724079,1.0,1.0,False
case_054,holdout,4,331197,331197,331197,331197,1.0,1.0,1.0,1.0,False
case_054,holdout,5,272849,271436,272849,271436,1.0052056470033452,1.0052056470033452,1.0,1.0,False
case_055,holdout,1,118835,118835,118835,118835,1.0,1.0,1.0,1.0,False
case_055,holdout,2,64648,64097,63100,62412,1.0085963461628469,1.0110235211177339,1.0245324881141047,1.0269980132025893,True
case_055,holdout,3,52332,51873,44544,44402,1.00884853391938,1.0031980541417054,1.1748383620689655,1.1682581865681727,True
case_055,holdout,4,42061,40884,40274,38545,1.0287887682222874,1.0448566610455312,1.0443710582509809,1.0606823193669737,True
