case,cores,baseline_l2_makespan,winner_l2_makespan,winner,strict_improvement,l2_ordering_speedup,official_calls,candidate_cache_hits,generation_failures,evaluation_failures
case_083,3,294975,292405,balanced_window,True,1.0087891793915973,2,0,0,0
case_083,4,220025,220025,balanced_window,False,1.0,2,0,0,0
case_083,5,181015,181015,baseline,False,1.0,2,0,0,0
case_084,2,1276489,1275814,reuse_window,True,1.000529073987274,1,0,0,0
case_084,3,836220,836220,baseline,False,1.0,0,0,0,0
case_084,4,625992,625992,baseline,False,1.0,0,0,0,0
case_084,5,501224,501224,baseline,False,1.0,1,0,0,0
case_085,2,2388498,2387337,reuse_window,True,1.0004863159243962,1,0,0,0
case_085,3,2147360,2147360,baseline,False,1.0,2,0,0,0
case_085,4,2023040,2021879,reuse_window,True,1.000574218338486,1,0,0,0
case_085,5,1870896,1870479,reuse_window,True,1.0002229375470133,1,0,0,0
case_086,2,72139,71279,reuse_window,True,1.0120652646642068,2,0,0,0
case_086,3,59513,59513,baseline,False,1.0,2,0,0,0
case_086,4,47180,47180,baseline,False,1.0,2,0,0,0
case_086,5,47180,47180,baseline,False,1.0,2,0,0,0
case_087,2,2287771,2287771,baseline,False,1.0,2,0,0,0
case_087,3,1577719,1577719,baseline,False,1.0,2,0,0,0
case_087,4,1346575,1346575,baseline,False,1.0,2,0,0,0
case_087,5,1166481,1166481,baseline,False,1.0,2,0,0,0
case_088,2,135073,134995,balanced_window,True,1.0005777991777474,2,0,0,0
case_088,3,100296,100296,baseline,False,1.0,2,0,0,0
case_088,4,82429,80351,balanced_window,True,1.025861532526042,2,0,0,0
case_088,5,76993,76993,baseline,False,1.0,2,0,0,0
case_089,2,339435,339435,baseline,False,1.0,0,0,0,0
case_089,3,226846,226846,baseline,False,1.0,2,0,0,0
case_089,4,170137,170137,balanced_window,False,1.0,2,0,0,0
case_089,5,137328,137328,baseline,False,1.0,0,0,0,0
case_090,2,457807,457807,baseline,False,1.0,2,0,0,0
case_090,3,324546,324546,baseline,False,1.0,2,0,0,0
case_090,4,295220,269062,balanced_window,True,1.0972192282819573,2,0,0,0
case_090,5,295220,269062,balanced_window,True,1.0972192282819573,2,0,0,0
case_091,2,5690664,5690664,baseline,False,1.0,1,0,0,0
case_091,3,4645072,4629475,reuse_window,True,1.0033690645267552,1,0,0,0
case_091,4,4002793,3976008,balanced_window,True,1.00673665646548,2,0,0,0
case_091,5,3122835,3122835,baseline,False,1.0,0,0,0,0
case_092,2,2015242,2015242,baseline,False,1.0,1,0,0,0
case_092,3,1331907,1330599,balanced_window,True,1.0009830159198978,2,0,0,0
case_092,4,1018974,1018974,baseline,False,1.0,1,0,0,0
case_092,5,827744,827744,baseline,False,1.0,2,0,0,0
case_093,2,45680,45680,balanced_window,False,1.0,2,0,0,0
case_093,3,31740,26765,reuse_window,True,1.185877078273865,1,0,0,0
case_093,4,23577,23577,baseline,False,1.0,1,0,0,0
case_093,5,19912,19312,reuse_window,True,1.0310687655343829,1,0,0,0
case_094,2,51407,51407,baseline,False,1.0,2,0,0,0
case_094,3,36685,36685,baseline,False,1.0,2,0,0,0
case_094,4,30467,30467,baseline,False,1.0,0,0,0,0
case_094,5,26086,26086,baseline,False,1.0,1,0,0,0
case_095,2,1040351,1040351,baseline,False,1.0,0,0,0,0
case_095,3,693735,693735,baseline,False,1.0,0,0,0,0
case_095,4,522106,522106,baseline,False,1.0,1,0,0,0
case_095,5,418656,418656,baseline,False,1.0,1,0,0,0
case_096,2,44882,44882,baseline,False,1.0,2,0,0,0
case_096,3,36103,35025,balanced_window,True,1.0307780157030693,2,0,0,0
case_096,4,34929,34929,baseline,False,1.0,2,0,0,0
case_096,5,34929,34929,baseline,False,1.0,2,0,0,0
case_097,2,5834394,5834394,baseline,False,1.0,0,0,0,0
case_097,3,4253566,4243972,reuse_window,True,1.0022606181190639,2,0,0,0
case_097,4,2869852,2869852,baseline,False,1.0,0,0,0,0
case_097,5,2809291,2786482,reuse_window,True,1.0081855902891173,2,0,0,0
case_098,2,94554,94248,reuse_window,True,1.0032467532467533,2,0,0,0
case_098,3,87943,87943,baseline,False,1.0,2,0,0,0
case_098,4,87943,87943,baseline,False,1.0,2,0,0,0
case_098,5,87943,87943,baseline,False,1.0,2,0,0,0
case_099,2,1555599,1555453,reuse_window,True,1.0000938633311325,1,0,0,0
case_099,3,751508,751508,baseline,False,1.0,1,0,0,0
case_099,4,613641,613140,reuse_window,True,1.000817105391917,1,0,0,0
case_099,5,503340,503340,baseline,False,1.0,1,0,0,0
case_100,2,80850,78892,reuse_window,True,1.024818739542666,1,0,0,0
case_100,3,69368,69368,baseline,False,1.0,2,0,0,0
case_100,4,65227,65227,baseline,False,1.0,2,0,0,0
case_100,5,65227,65227,baseline,False,1.0,2,0,0,0
