case,cores,candidate,gain_pct,relation
case_025,2,map_locality@b1,0.0,tie
case_025,2,map_locality@b2a_w4,-17.505766399586594,worse
case_025,2,map_locality@b2a_w8,-43.02016692280157,worse
case_025,2,map_locality@b2a_w16,-43.02016692280157,worse
case_025,3,map_locality@b0,-18.62697799841853,worse
case_025,3,map_locality@b1,0.0,tie
case_025,3,map_locality@b2a_w4,-14.554809806296522,worse
case_025,3,map_locality@b2a_w8,-45.06858329483719,worse
case_025,3,map_locality@b2a_w16,-45.06858329483719,worse
case_025,4,map_locality@b0,-114.25942467119216,worse
case_025,4,map_locality@b1,0.0,tie
case_025,4,map_locality@b2a_w4,-22.59229879062281,worse
case_025,4,map_locality@b2a_w8,-64.15811994838009,worse
case_025,4,map_locality@b2a_w16,-64.15811994838009,worse
case_025,5,map_locality@b0,0.0,tie
case_025,5,map_locality@b1,-31.1640598892504,worse
case_025,5,map_locality@b2a_w4,-77.23216207738531,worse
case_025,5,map_locality@b2a_w8,-125.8144769941386,worse
case_025,5,map_locality@b2a_w16,-125.8144769941386,worse
case_026,2,map_locality@b0,-59.391074655915475,worse
case_026,2,map_locality@b1,-15.848741832336994,worse
